DataSource	Var	Type	Format	Label
hos	yr	Num	best12.	Year
hos	rt	Char	$1.	Record type
hos	serialno	Char	$9.	Housing unit/GQ person serial number
hos	division	Char	$1.	Division code
hos	puma	Char	$5.	Puma code
hos	region	Char	$1.	Region code
hos	st	Char	$2.	State
hos	wgtp	Num	Z4.	Housing unit weight
hos	bld	Char	$2.	Type of building
hos	np	Num	Z2.	Number of persons
hos	ten	Char	$1.	Tenure
hos	vacs	Char	$1.	Vacancy Status (all yrs data)
hos	vacs_nocc	Char	$1.	"""vacancy, no occupied renter & owner (2005-2008 data)"""
hos	rntp	Num	Z5.	Monthly rent
hos	grntp	Num	Z4.	Gross rent
hos	grpip	Num	Z3.	Gross rent as a percentage of household income
hos	hincp	Num	Z9.	Household income
hos	fincp	Num	Z9.	Family income
hos	val	char	$2.	Category for property value
hos	valp	Num	Z7.	Property value
hos	type	Char	$1.	Type of unit
hos	bdsp	Char	Z2.	Number of bedrooms
hos	rmsp	Num	Z2.	Number of rooms
hos	acr	Char	$1.	Lot size
hos	bus	Char	$1.	Business on property
hos	ags	Char	$1.	Agricultural sales of $1000 or more
hos	conp	Num	Z4.	Monthly condominium fee
hos	elep	Num	Z3.	Monthly electricity cost
hos	gasp	Num	Z3.	Monthly gas cost
hos	watp	Num	Z4.	Yearly water and sewer cost
hos	fulp	Num	Z4.	Yearly other fuel cost
hos	hfl	Char	$1.	Type of house heating fuel
hos	veh	Char	$1.	Number of vehicles
hos	rntm	Char	$1.	Meals included in rent
hos	plm	Char	$1.	Complete plumbing facilities
hos	tel	Char	$1.	Telephone in Unit
hos	kit	Char	$1.	Complete kitchen facilities
hos	mrgx	Char	$1.	Mortgage status
hos	mrgp	Num	Z5.	Monthly mortgage payment
hos	smx	Char	$1.	Second mortgage or home equity loan status
hos	smp	Num	Z5.	Monthly other mortgage payment
hos	mrgi	Char	$1.	Mortgage payment include insurance
hos	insp	Num	Z4.	Yearly property insurance
hos	mrgt	Char	$1.	Mortgage payment include real estate taxes
hos	taxp	Char	$2.	Yearly Property taxes
hos	mhp	Num	Z5.	Yearly mobile home costs
hos	sval	Char	$1.	Specified value unit
